Size,Random_Standard,Random_Intro,Reverse_Standard,Reverse_Intro,Almost_Standard,Almost_Intro
50300,9074,7563,7275,4851,5786,4383
50400,9029,7177,7202,5020,5995,4889
50500,8778,7490,7464,5004,5923,4630
50600,9040,7403,7447,5029,5782,4516
50700,9015,7361,7465,4941,5777,4392
50800,8992,7390,7360,5006,5938,4627
50900,9064,7416,7279,5122,5782,4563
51000,8911,7554,7393,5366,5884,4804
51100,9040,7494,7500,5093,5752,4665
51200,9044,7476,7127,5399,5755,4728
51300,9053,7565,7626,4977,5829,4482
51400,8885,7559,7307,5435,5908,4758
51500,9075,7230,7555,5149,5893,4766
51600,9281,7388,7211,5117,5876,4497
51700,9047,7569,7400,5014,5807,4804
51800,9059,7383,7430,5158,5944,4458
51900,9112,7568,7688,5147,5913,4725
52000,9277,7599,7279,5233,5933,4788
52100,9429,7564,7734,4976,6068,4508
52200,9197,7385,7595,5132,5878,5155
52300,9023,7795,7438,5190,5948,4840
52400,9443,7746,7797,5320,5925,5440
52500,9671,7869,7637,5471,6051,4817
52600,9289,7702,7406,5207,6203,4805
52700,9397,7859,8006,5319,6017,4697
52800,9420,8244,7553,5352,6045,4860
52900,9470,7664,7463,5134,6173,4819
53000,9560,7858,7884,5364,6047,4726
53100,9782,7701,7474,5462,5959,4899
53200,9655,7812,7645,5254,5997,4712
53300,9603,8133,8027,5360,6150,4886
53400,9587,8054,7631,5537,6327,4827
53500,9655,7816,7840,5269,6062,4851
53600,9381,7794,7805,5477,6113,4784
53700,9477,7976,7825,5442,6105,4966
53800,9996,8032,7937,5511,5593,4915
53900,9547,7825,7765,5315,6010,4978
54000,9415,7796,7879,5316,6204,5027
54100,9655,7933,8198,5773,6421,4859
54200,9640,8140,7928,5513,6041,4944
54300,9650,7902,7816,5325,6320,4934
54400,9829,7999,8030,5328,6226,4847
54500,9784,8340,7809,5458,6394,5008
54600,9717,7859,7837,5414,6410,4793
54700,9712,8077,7762,5623,6284,4963
54800,9829,8039,7938,5404,6086,5049
54900,9631,8029,7827,5344,6149,4917
55000,9780,7967,7907,5774,6122,4968
55100,9873,8014,7988,5584,6351,5030
55200,9837,8237,8103,5524,6363,5026
55300,9795,8203,7899,5578,6452,4882
55400,10204,8185,8027,5769,6494,4901
55500,9884,8190,7905,5531,6550,5080
55600,10086,8051,7526,5745,6585,5265
55700,10001,8448,8096,5518,6359,5063
55800,10130,8399,8267,5622,6450,5138
55900,10391,8488,8020,5714,6499,4965
56000,10049,8342,7945,5444,6222,4885
56100,9933,8245,8312,5873,6355,5239
56200,10140,8445,8430,5545,6649,5201
56300,10384,8659,8427,6234,6331,5201
56400,10645,8496,8279,5905,6395,5223
56500,10074,8402,8247,5810,6374,4968
56600,10459,8636,8248,5700,6381,5064
56700,10340,8401,8523,5773,6371,5337
56800,10133,8396,8235,5763,6615,4988
56900,10248,8216,8528,5675,6564,5170
57000,10174,8256,8202,5719,6586,5125
57100,10261,8371,8534,6324,6660,5293
57200,10210,8653,8301,5565,6597,5231
57300,10258,8537,8464,5752,6549,5010
57400,10064,8355,8106,5515,6607,5352
57500,10248,8509,8448,5532,6127,4620
57600,10481,8583,7758,5548,6027,5057
57700,10583,8440,8590,6136,6748,5201
57800,10591,8504,8948,5958,6600,5178
57900,10393,8599,8354,5835,6726,5143
58000,10469,8557,8740,5910,6693,5249
58100,10271,8580,8611,6012,6750,5201
58200,10663,8644,8698,5799,6622,5449
58300,10638,8567,8774,6013,6717,5434
58400,10810,8693,8547,6313,6545,5107
58500,10407,8769,8790,6116,6640,5314
58600,10630,8636,8567,5912,6653,5284
58700,10752,8663,8391,5820,6660,5398
58800,10549,8888,8674,5860,6679,5424
58900,10601,8722,8958,5967,6937,5329
59000,10651,8708,8621,6042,6737,5298
59100,10996,8549,8480,6042,6830,5361
59200,10559,8999,8975,6017,7063,5355
59300,11238,8779,8663,6052,6863,5328
59400,11024,8852,8548,6023,7057,5460
59500,10788,8891,8935,5985,6842,5328
59600,10524,8810,8536,6353,6901,5268
59700,10913,8706,8752,6021,6967,5355
59800,10822,8821,9010,5974,6933,5432
59900,10789,9086,8937,6011,6813,5249
60000,10852,8907,8982,5986,6895,5312
60100,10816,8802,9092,5903,6916,5287
60200,10952,8938,8807,6195,7001,5461
60300,11244,8891,8749,6082,7036,5314
60400,11225,9231,8677,6136,6906,5367
60500,11139,8870,9282,6944,7090,5444
60600,11056,9074,8591,6303,7112,5534
60700,11122,9265,9055,6081,6839,5484
60800,11208,9062,9023,5995,7251,5774
60900,11077,9146,9186,6512,6992,5522
61000,11172,8844,9008,6411,6976,5666
61100,11223,9255,9481,6194,7076,5657
61200,10984,9054,9141,6084,7042,5404
61300,11389,9245,9181,6785,7137,5484
61400,11039,9227,8919,6350,7302,5610
61500,11033,9273,9337,6101,7025,5627
61600,11318,8846,9319,6504,7187,5662
61700,11222,8964,9086,6139,7090,5547
61800,11425,9284,9333,6276,7220,5537
61900,11043,9355,9459,6273,7006,5460
62000,11274,9322,9012,6614,7092,5758
62100,11496,9134,8896,6344,7206,5601
62200,11491,9040,8932,6254,7050,5514
62300,11558,9256,10221,6765,7620,5711
62400,11589,9088,9506,6510,7378,5823
62500,11309,9518,9493,6722,7172,5607
62600,11177,9288,9238,6354,7315,5700
62700,11529,9246,9667,6221,7182,5763
62800,11864,9390,9079,6668,7211,5703
62900,11501,9217,9354,6329,7293,5750
63000,11686,9361,9144,6124,7477,5710
